SIGNAL_NAME,OFFSET,PRECISION,POSITION,LENGTH
VisionFrameIndex,0,1,16,32
AsyRoadCrvt_in,-1,0.0000001,8,25
VLatError,-100,0.0001,33,21
aAsyALgtReqForSpdCtrl,-5,0.01,54,10
PinionAngleRequest_ff_deg,-840,0.01,8,18
PinionAngleRequest_fb_deg,-840,0.01,26,18
SpdCtrlErr,-50,0.1,44,10
SetSpdForCrsCtrl,0,1,54,6
Pas2Actv_LKS,0,1,60,1
LocalSt_LKS,0,1,61,3
Pas2Actv_Tja,0,1,8,1
input_road_end_flag_asy,0,1,9,1
STC_PID_Term_Limit,-10,0.0001,10,18
STC_FF_Term,-10,0.0001,28,18
SteerWhlTqAddl,-10,0.0001,46,18
STC_SteerAngleRequest,-840,0.01,8,18
stc_steeringangle,-840,0.01,26,18
aAsyALgtReqForCmft,-5,0.01,44,10
RangeRate,-50,0.1,54,10
TargetSpeed,0,0.1,8,11
Range,0,0.1,19,11
vehself_algt,-12,0.01,30,11
a_obj_ff,-12,0.01,41,11
AccStatus_acc,0,1,52,3
VehicleSpeed_acc,0,0.1,55,9
Target_present,0,1,8,1
ACCStopRequest,0,1,9,1
d_ref,0,1,10,7
PosnLgt_TA,-300,0.01,17,16
PosnLat_TA,-100,0.01,33,16
Spd_TA,-80,0.01,49,15
SelfC0_TA,-1,0.0000001,8,25
Acc_TA,-30,0.001,33,15
Offset_TA,-100,0.01,48,16
Typ_TA,0,1,8,4
SF_RoadPpty_LaneWidth,0,0.01,12,14
SF_RoadPpty_OffsetLat,-100,0.01,26,15
SF_RoadPpty_Vld,0,1,41,1
aeb_vel_x,-100,0.1,42,11
aeb_vel_y,-100,0.1,53,11
aeb_x,0,0.01,8,15
cipv_x,0,0.01,23,15
ttc_ta,0,0.01,38,14
posnlat_ta,-10,0.01,52,11
ThreatFoundForIntv,0,1,63,1
aeb_y,-30,0.01,8,13
cipv_y,-30,0.01,21,13
cipv_vel_x,-100,0.1,34,11
cipv_vel_y,-100,0.1,45,11
ObjPrimaryTarget_Ppty_fusnSrc,0,1,56,8
vlgt_ta,-100,0.1,8,11
vlat_ta,-100,0.1,19,11
aeb_type,0,1,30,5
CllsnMtgtnByBrkgPrimQly,0,1,35,3
Stationary,0,1,38,1
CIPV_true_aeb,0,1,39,1
cipv_sts,0,1,40,2
Deactivate,0,1,42,1
AlatGate,0,0.01,43,10
SteeringThreat,0,1,53,1
AlatReqd,0,0.01,54,10
CurveReqLeft,0,0.00001,8,17
CurveReqRight,-1,0.00001,25,17
CurveAbsMax,0,0.00001,42,17
CmbBStatus,0,1,59,4
BrakingThreat,0,1,63,1
x2Front,0,0.01,8,15
accreq,-10,0.01,23,10
val,-10,0.01,33,10
FullBrakingThreat,0,1,43,1
AccelerationThreat,0,1,44,1
CommonInhibit_ok,0,1,45,1
Tja_flgBlending,0,1,46,1
flgIgnoreACC,0,1,47,1
TjaSts_TrqReqAct,0,1,48,1
flgInterven,0,1,49,1
HandOff_Detected,0,1,50,1
QaEnad_AND_DrvrPrsnt_isNot_Yes,0,1,51,1
AccInhbReq_is_True,0,1,52,1
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_YVelRel(FRS_Obj_00),0,0.1,8,11
Obj_YVelRel(FRS_Obj_01),0,0.1,19,11
Obj_YVelRel(FRS_Obj_02),0,0.1,30,11
Obj_YVelRel(FRS_Obj_03),0,0.1,41,11
Obj_YVelRel(FRS_Obj_04),0,0.1,52,11
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_YVelRel(FRS_Obj_00),0,0.1,8,11
Obj_YVelRel(FRS_Obj_01),0,0.1,19,11
Obj_YVelRel(FRS_Obj_02),0,0.1,30,11
Obj_YVelRel(FRS_Obj_03),0,0.1,41,11
Obj_YVelRel(FRS_Obj_04),0,0.1,52,11
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
Obj_ID,0,1,8,8
Obj_YPos,0,0.015625,16,13
Obj_XPos,0,0.015625,29,14
Obj_XAccRel,0,0.15,43,7
Obj_XVelRel,0,0.1,50,11
Obj_MotionPattern,0,1,61,3
